,common_name,scientific_name,Native,visit,year,month,day,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20
SWF-1347,No blooming,No blooming,,2,2018,June,7,100,0,0,0,100,100,0,0,100,0,100,0,100,0,0,0,0,100,0,0
SWF-1347,Hop Clover,Trifolium campestre,-1,2,2018,June,7,0,25,5,0,0,0,5,0,0,25,0,0,0,0,0,0,0,0,0,0
SWF-1347,Cow Vetch,Vicia cracca,-1,2,2018,June,7,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0
SWF-1347,Common Dandelion,Taraxacum officinale,-2,2,2018,June,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SWF-1347,Sandbar willow,Salix exigua,n,2,2018,June,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,25,0,0,10,0
SWF-1347,Canada Anenome,Anemone canadensis,n,2,2018,June,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0
SWF-1347,Rough bedstraw,Galium asprellum,n,2,2018,June,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
SWF-1347,Long-beaked willow,Salix bebbiana,n,2,2018,June,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,50
SWF-1347,Bird's-foot trefoil,Lotus corniculatus,-2,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1347,Bladder campion,Silene vulgaris,-1,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1347,Silvery cinquefoil,Potentilla argentea,-2,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1347,St. John's wort,Hypericum perforatum,-3,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1347,Wild Parsnip,Pastinaca sativa,-3,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1347,Blueweed,Echium vulgare,-2,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1347,Annual Fleabane,Erigeron annuus,n,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1347,Ox-eye Daisy,Leucanthemum vulgare,n,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1347,Trifolium dubium,Trifolium dubium,-1,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1347,Foxglove beardtongue,Penstemon digitalis,n,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1347,Rough Cinquefoil,Potentilla norvegica,n,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1347,Canada goldenrod,Solidago canadensis,n,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1347,Black eyed Susan,Rudbeckia hirta,n,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
