SWP,Date,VisitNumber,CloudCover,WindSpeed,Temp,StartTime,EndTime,Observer,DisturbanceCat,TreeCover,MidCanopy,PerNatMA,NatRichnessMA,abund,rich,Shannon,Even,Simpson,SpeciesRichness
1227,08-May-18,1,0,4,17,10:40:00,12:00:00,Jesse,3,5,5,0.268292683,11,0,0,0,-0,1,0
1227,07-Jun-18,2,80,3.0-4,19,01:46:00,03:15:00,Jesse,3,5,5,0.268292683,11,2,2,0.6931471805599453,1,0.5,2
1227,03-Jul-18,3,0,1.-2,29,02:22:00,03:27:00,Jesse,3,5,5,0.268292683,11,19,8,1.8509384343524815,0.8901132334103692,0.814404432132964,8
1227,27-Jul-18,4,40-80,3,26,12:30:00,01:43:00,Jesse,3,5,5,0.268292683,11,6,2,0.6365141682948128,0.9182958340544894,0.4444444444444444,2
1209,08-May-18,1,0,4,22,12:45:00,02:04:00,Jesse,1,2,4,0.651162791,28,1,1,0,NA,0,1
1209,15-Jun-18,2,10,2.-3,23,01:45:00,02:58:00,Jesse,1,2,4,0.651162791,28,1,1,0,NA,0,1
1209,09-Jul-18,3,0,3,25,09:40:00,11:00:00,Jesse,1,2,4,0.651162791,28,31,7,1.643144247999453,0.8444091053213094,0.7617065556711758,7
1209,26-Jul-18,4,35,2,26,12:58:00,01:04:00,Jesse,1,2,4,0.651162791,28,13,2,0.666278442414676,0.961236604722876,0.47337278106508873,2
1204,09-May-18,1,10,3,26,01:30:00,02:45:00,Jesse,1,7,18,0.666666667,30,0,0,0,-0,1,0
1204,12-Jun-18,2,15,3.-4,27,02:06:00,03:23:00,Jesse,1,7,18,0.666666667,30,17,5,1.2033320406994705,0.7476722347614897,0.602076124567474,5
1204,03-Jul-18,3,0,1,24,09:53:00,11:17:00,Jesse,1,7,18,0.666666667,30,22,7,1.8315887189462852,0.9412504065696312,0.8264462809917356,7
1204,14-Aug-18,4,90,1,27,12:15:00,01:45:00,Jesse,1,7,18,0.666666667,30,30,9,1.9033312448851598,0.8662433801794817,0.8133333333333334,9
1347,09-May-18,1,20,4,27,03:18:00,04:35:00,Jesse,1,3,8,0.551724138,32,0,0,0,-0,1,0
1347,07-Jun-18,2,60,2,17,11:19:00,12:54:00,Jesse,1,3,8,0.551724138,32,7,4,1.277034259466139,0.9211854965885543,0.6938775510204083,4
1347,03-Jul-18,3,0,1,27,11:42:00,01:08:00,Jesse,1,3,8,0.551724138,32,26,9,1.8277744156205078,0.8318559852613653,0.7958579881656804,9
1347,31-Jul-18,4,5+10 light clouds,1,22,10:15:00,11:31:00,Jesse,1,3,8,0.551724138,32,5,2,0.6730116670092565,0.9709505944546688,0.48,2
1616,14-May-18,1,8,2,17,09:45:00,10:20:00,Jesse,1,3,10,0.536585366,22,0,0,0,-0,1,0
1616,21-Jun-18,2,1,0.-2,17,12:32:00,01:48:00,Jesse,1,3,10,0.536585366,22,6,2,0.6931471805599453,1,0.5,2
