SWP,abund,Niche.Breadth,method,sampcov,SpeciesRichness,Shannon,Simpson
1127,27,Generalist,2.786612861359307,0.33329919634275035,2.4454057587727447,2.344886379460679,2.2192680207673128
1133,4,Generalist,1.999817952940053,0.33330299215667547,1.8331816274500439,1.7816551123559294,1.7141556806714666
1134,25,Generalist,1.3494810299029936,0.33330225208770153,1.2539562150628423,1.2288441084344628,1.1994420537142738
1204,61,Generalist,1.9055771205497989,0.3333029757295268,1.726522753897705,1.6736135525067222,1.6065860997506967
1204,61,Specialist,23,1,3,2.6804498024509735,2.415525114155251
1206,14,Generalist,1,0.41758241758241776,1,1,1
1209,28,Generalist,1.3331502620824658,0.3333011449815325,1.2416254648070637,1.2176188883574741,1.1895510111848506
1209,28,Specialist,14,1,2,1.6813210759468074,1.5076923076923079
1220,46,Generalist,2.288319978862927,0.3332997217953368,2.0155406045987094,1.9349494118495798,1.8347564021481195
1220,46,Specialist,1,1,1,1,1
1227,18,Generalist,2.8697319053754633,0.33330114691958596,2.5225040228709417,2.420564031507216,2.29316889223291
1227,18,Specialist,1,1,1,1,1
1236,98,Generalist,1,0.6637837837837636,1.0000000000000004,1,0.9999999999999996
1236,98,Specialist,23,1,1,1,1
1306,48,Generalist,1.5494685944660662,0.3333028736799982,1.4183454071502992,1.3819312627134726,1.3377467507268492
1306,48,Specialist,15,1,1,1,1
1310,76,Generalist,1.289770090877169,0.3333020951789719,1.2073646104878573,1.1860863530787975,1.1614508491820161
1310,76,Specialist,10,1,1,1,1
1314,6,Generalist,2.499737459562692,0.33329832794169223,2.2331408036793086,2.1584033601318175,2.0664049678474448
1347,28,Generalist,1.3280108598819809,0.3332994745183141,1.2354949763255247,1.2115150702801947,1.1836860815339092
1347,28,Specialist,1,1,1,1,1
1352,51,Generalist,2.623467090138371,0.3332983339986152,2.2967717048664484,2.1999522651879944,2.0791285395111205
1352,51,Specialist,19,1,2,1.2289892094880017,1.110769230769231
1428,44,Generalist,1.4727815121688312,0.3332967798137711,1.3534604638595549,1.3210279000613951,1.2822307886331044
1428,44,Specialist,8,1,1,1,1
1501,73,Generalist,2.3380169907004467,0.33329972454840917,2.0701094831556603,1.991922172145466,1.8945075120603625
1501,73,Specialist,32,1,1,1,1
1610,3,Generalist,2.9998774309529743,0.3332924769843248,2.9998774309529743,2.999877430952974,2.9998774309529743
1616,37,Generalist,2.145749927477938,0.3333006696390273,1.921632785048465,1.8558254091760453,1.7730246755199752
1616,37,Specialist,14,1,1,1,1
1622,2,Generalist,1,1,1,1,1
1809,55,Generalist,2.339740761905223,0.33330039046828464,2.068178344696691,1.9886766117780046,1.8896582137126274
1809,55,Specialist,2,1,1,1,1
1914,49,Generalist,1.6340153584865795,0.3333009661516095,1.487084815091277,1.4458441759311143,1.3954425689529697
1914,49,Specialist,13,1,1,1,1
