Pond,Niche.Breadth,Abundance,Species.Richness
1127,Wetland non-specialist,39,9
1127,Wetland specialist,0,0
1133,Wetland non-specialist,51,4
1133,Wetland specialist,0,0
1134,Wetland non-specialist,39,7
1134,Wetland specialist,0,0
1204,Wetland non-specialist,45,9
1204,Wetland specialist,23,3
1206,Wetland non-specialist,34,4
1206,Wetland specialist,0,0
1209,Wetland non-specialist,30,5
1209,Wetland specialist,14,2
1220,Wetland non-specialist,53,13
1220,Wetland specialist,1,1
1227,Wetland non-specialist,25,7
1227,Wetland specialist,1,1
1236,Wetland non-specialist,106,8
1236,Wetland specialist,23,1
1306,Wetland non-specialist,65,7
1306,Wetland specialist,15,1
1310,Wetland non-specialist,108,8
1310,Wetland specialist,10,1
1314,Wetland non-specialist,16,4
1314,Wetland specialist,0,0
1347,Wetland non-specialist,36,9
1347,Wetland specialist,1,1
1352,Wetland non-specialist,60,8
1352,Wetland specialist,19,2
1428,Wetland non-specialist,74,9
1428,Wetland specialist,8,1
1501,Wetland non-specialist,75,11
1501,Wetland specialist,32,1
1610,Wetland non-specialist,10,3
1610,Wetland specialist,0,0
1616,Wetland non-specialist,26,8
1616,Wetland specialist,14,1
1622,Wetland non-specialist,18,2
1622,Wetland specialist,0,0
1809,Wetland non-specialist,70,12
1809,Wetland specialist,2,1
1914,Wetland non-specialist,40,8
1914,Wetland specialist,13,1
