ScientificNames,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,Genus,species,SpeciesCode
Hesperiidae,0,0,1,1,0,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,Hesperiidae,sp,HESSP
Erynnis juvinalis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Erynnis,juvinalis,ERYJUV
Ancyloxypha numitor,0,0,0,13,0,0,1,0,23,15,10,0,1,18,8,32,0,14,0,2,13,Ancyloxypha,numitor,ANCNUM
Thymelicus lineola,0,0,5,2,8,0,1,2,61,0,3,0,4,4,0,1,1,3,0,7,15,Thymelicus,lineola,THYLIN
Anatrytone logan,0,0,1,0,0,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,Anatrytone,logan,ANALOG
Polites Themistocles,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,3,0,0,0,0,0,Polites,themistocles,POLTHE
Polites mystic,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,Polites,mystic,POLMYS
Poanes hobomok,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,Poanes,hobomok,POAHOB
Euphyes Dion,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Euphyes,Dion,EUPDIO
Euphyes vestris,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Euphyes,vestris,EUPVES
Papilio polyxenes,0,0,0,0,0,0,0,0,3,8,0,0,2,2,0,0,0,2,0,0,0,Papilio,polyxenes,PAPPOL
Papilio canadensis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Papilio,canadensis,PAPCAN
Pieris rapae,12,47,15,8,20,18,10,9,32,32,45,12,10,33,38,34,8,3,16,21,4,Pieris,rapae,PIERAP
Pieridae,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pieridae,sp,PIESP
Colias philodice,8,1,4,11,5,7,3,5,1,13,13,0,14,11,15,13,1,8,2,12,7,Colias,philodice,COLPHI
Lycaena hyllus,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Lycaena,hyllus,LYCHYL
Satyrium acadicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Satyrium,acadicum,SATACA
Satyrium caryaevorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Satyrium,caryaevorum,SATCAR
Everes comyntas,3,0,0,2,0,1,1,0,0,0,3,0,0,3,3,4,0,3,0,0,1,Everes,comyntas,EVECOM
Lycaenidae,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,0,Lycaenidae,sp,LYCSP
Celastrina ladon,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Celastrina,ladon,CELLAD
Glaucopsyche lygdamus,3,0,0,2,0,0,6,1,4,5,0,0,1,3,4,0,0,0,0,1,3,Glaucopsyche,lygdamus,GLALYG
Nymphalidae,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,1,0,Nymphalidae,sp,NYMSP
Libytheana Bachmanii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Libytheana,Bachmanii,LIBBAC
Boloria bellona,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boloria,bellona,BOLBEL
Chlosyne nycteis,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Chlosyne,nycteis,CHLNYC
Phyciodes Tharos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Phyciodes,Tharos,PHYTHA
Phyciodes cocyta,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,2,Phyciodes,cocyta,PHYCOC
Polygonia comma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Polygonia,comma,POLCOM
Nymphalis vaualbum,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nymphalis,vaualbum,NYMVAU
Nymphalus antilopa,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Nymphalus,antilopa,NYMANT
Limenitis arthemis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Limenitis,arthemis,LIMART
Liminitis archippus,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Liminitis,archippus,LIMARC
Satyrodes eurydice,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Satyrodes,eurydice,SATEUR
Coenonypha tullia,4,0,12,12,0,1,1,2,3,1,32,2,2,0,10,7,0,5,0,17,6,Coenonypha,tullia,COETUL
Danaus plexippus,4,0,0,6,0,0,3,3,0,5,7,0,0,3,1,8,0,1,0,2,2,Danaus,plexippus,DANPLE
