Pond,SamplingArea,PerCut,Disturbance
1127,4537.040842,30,Disturbed
1133,3943.442955,30,Disturbed
1134,1852.803544,5,Undisturbed
1204,4915.667557,16,Undisturbed
1206,5397.183299,10,Undisturbed
1209,3656.428432,10,Undisturbed
1220,1246.869279,12,Undisturbed
1227,4711.909206,80,Disturbed
1236,2339.474005,0,Undisturbed
1306,4311.304467,10,Undisturbed
1310,2981.102236,0,Undisturbed
1314,5627.619897,75,Disturbed
1347,6966.483499,0,Undisturbed
1352,5522.154736,3,Undisturbed
1428,2142.79402,20,Undisturbed
1501,2998.29587,20,Undisturbed
1610,3395.513437,70,Disturbed
1616,3267.121508,2,Undisturbed
1622,2677.417306,80,Disturbed
1809,1874.931841,0,Undisturbed
1914,6285.174718,8,Undisturbed
